iter	Passed	Remaining
0	1	168
1	3	157
2	4	152
3	5	141
4	7	139
5	8	138
6	10	136
7	11	135
8	13	134
9	14	133
10	16	131
11	17	129
12	19	128
13	20	126
14	21	124
15	23	122
16	24	121
17	26	120
18	27	118
19	29	117
20	30	115
21	32	114
22	33	112
23	35	111
24	36	109
25	37	108
26	39	106
27	40	105
28	42	103
29	43	102
30	45	100
31	46	99
32	48	97
33	49	96
34	50	94
35	52	93
36	54	91
37	55	90
38	56	89
39	58	87
40	59	86
41	60	83
42	61	82
43	63	80
44	64	79
45	66	77
46	67	76
47	69	74
48	70	73
49	72	72
50	73	70
51	74	69
52	76	67
53	77	66
54	78	64
55	80	63
56	81	61
57	83	60
58	84	58
59	86	57
60	87	55
61	88	54
62	90	53
63	91	51
64	93	50
65	94	48
66	96	47
67	97	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	106	37
74	107	35
75	109	34
76	110	33
77	112	31
78	113	30
79	114	28
80	116	27
81	117	25
82	119	24
83	120	22
84	122	21
85	123	20
86	125	18
87	127	17
88	130	16
89	132	14
90	133	13
91	135	11
92	136	10
93	138	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	146	0
